日期,AQI,质量等级,PM2.5,PM10,SO2,CO,NO2,O3_8h,天气状况,气温,风力风向
2013-12-02,142,轻度污染,109,138,61,2.6,88,11,多云/多云,11℃/-1℃,无持续风向≤3级/无持续风向≤3级
2013-12-03,86,良,64,86,38,1.6,54,45,晴/晴,14℃/-1℃,无持续风向≤3级/无持续风向≤3级
2013-12-04,109,轻度污染,82,101,42,2.0,62,23,多云/多云,12℃/0℃,无持续风向≤3级/无持续风向≤3级
2013-12-05,56,良,39,56,30,1.2,38,52,晴/晴,12℃/-3℃,无持续风向≤3级/无持续风向≤3级
2013-12-06,169,中度污染,128,162,48,2.5,78,15,晴/霾,11℃/-2℃,无持续风向≤3级/无持续风向≤3级
2013-12-07,291,重度污染,241,285,64,4.2,98,6,霾/霾,9℃/-1℃,无持续风向≤3级/无持续风向≤3级
2013-12-08,223,重度污染,173,189,47,2.9,60,41,霾/晴,10℃/-1℃,北风4-5级/北风4-5级
2013-12-09,26,优,11,16,10,0.6,22,51,晴/晴,7℃/-5℃,北风3-4级/无持续风向≤3级
2013-12-10,45,优,21,45,14,1.0,29,52,多云/晴,7℃/-4℃,北风4-5级/北风4-5级
2013-12-11,30,优,19,30,15,0.7,30,45,晴/晴,6℃/-3℃,无持续风向≤3级/北风3-4级
2013-12-12,29,优,16,29,11,0.8,25,56,晴/晴,3℃/-6℃,北风4-5级/无持续风向≤3级
2013-12-13,66,良,48,63,29,1.3,45,29,晴/晴,5℃/-5℃,无持续风向≤3级/无持续风向≤3级
2013-12-14,56,良,40,48,29,1.2,41,46,晴/晴,5℃/-6℃,无持续风向≤3级/无持续风向≤3级
2013-12-15,64,良,46,55,31,1.5,49,31,晴/晴,5℃/-5℃,无持续风向≤3级/无持续风向≤3级
2013-12-16,134,轻度污染,102,126,59,2.5,70,10,多云/小雪,2℃/-4℃,无持续风向≤3级/无持续风向≤3级
2013-12-17,80,良,59,41,35,1.4,39,42,多云/晴,2℃/-7℃,无持续风向≤3级/无持续风向≤3级
2013-12-18,45,优,29,45,22,0.9,32,43,晴/晴,3℃/-8℃,无持续风向≤3级/无持续风向≤3级
2013-12-19,63,良,45,60,30,1.2,50,35,晴/晴,1℃/-7℃,无持续风向≤3级/无持续风向≤3级
2013-12-20,45,优,30,45,28,1.1,46,47,晴/晴,3℃/-8℃,无持续风向≤3级/无持续风向≤3级
2013-12-21,82,良,61,81,43,1.6,69,30,晴/多云,2℃/-6℃,无持续风向≤3级/无持续风向≤3级
2013-12-22,179,中度污染,135,178,67,2.8,95,14,晴/晴,3℃/-6℃,无持续风向≤3级/无持续风向≤3级
2013-12-23,166,中度污染,126,166,62,2.9,90,30,晴/晴,4℃/-6℃,无持续风向≤3级/无持续风向≤3级
2013-12-24,269,重度污染,219,268,94,4.8,123,10,霾/霾,4℃/-6℃,无持续风向≤3级/无持续风向≤3级
2013-12-25,219,重度污染,169,219,65,3.3,94,54,霾/晴,6℃/-5℃,北风4-5级/北风4-5级
2013-12-26,30,优,10,20,9,0.4,21,59,晴/晴,2℃/-9℃,北风3-4级/无持续风向≤3级
2013-12-27,23,优,16,21,19,0.6,34,40,多云/多云,1℃/-6℃,无持续风向≤3级/无持续风向≤3级
2013-12-28,31,优,11,18,11,0.3,21,61,晴/晴,3℃/-7℃,无持续风向≤3级/无持续风向≤3级
2013-12-29,78,良,58,87,48,1.7,76,30,晴/晴,6℃/-6℃,无持续风向≤3级/无持续风向≤3级
2013-12-30,67,良,43,84,28,1.1,53,59,晴/晴,8℃/-5℃,无持续风向≤3级/无持续风向≤3级
2013-12-31,99,良,50,148,23,1.2,49,63,晴/晴,8℃/-3℃,北风3-4级/无持续风向≤3级
2014-01-01,81,良,45,111,28,1.5,62,52,晴/晴,10℃/-4℃,无持续风向≤3级/无持续风向≤3级
2014-01-02,145,轻度污染,111,168,69,3.4,93,14,晴/晴,8℃/-2℃,无持续风向≤3级/无持续风向≤3级
2014-01-03,74,良,47,98,29,1.3,52,56,晴/晴,9℃/-5℃,北风3-4级/无持续风向≤3级
2014-01-04,149,轻度污染,114,147,40,2.8,75,14,多云/多云,3℃/-3℃,无持续风向≤3级/无持续风向≤3级
2014-01-05,119,轻度污染,91,117,36,2.3,67,44,晴/阴,6℃/-4℃,无持续风向≤3级/无持续风向≤3级
2014-01-06,182,中度污染,138,158,46,2.4,68,12,阴/阴,2℃/-3℃,无持续风向≤3级/无持续风向≤3级
2014-01-07,145,轻度污染,111,125,34,2.0,60,43,多云/多云,6℃/-5℃,北风3-4级/北风3-4级
2014-01-08,27,优,15,25,13,0.5,21,53,晴/晴,0℃/-9℃,北风3-4级/无持续风向≤3级
2014-01-09,46,优,27,46,19,0.8,35,53,晴/晴,1℃/-9℃,无持续风向≤3级/无持续风向≤3级
2014-01-10,85,良,63,94,53,1.9,71,19,晴/晴,4℃/-8℃,无持续风向≤3级/无持续风向≤3级
2014-01-11,139,轻度污染,106,128,76,2.8,90,11,晴/晴,4℃/-5℃,无持续风向≤3级/北风3-4级
2014-01-12,47,优,27,47,27,0.7,39,59,晴/晴,2℃/-9℃,无持续风向≤3级/无持续风向≤3级
2014-01-13,109,轻度污染,82,107,67,2.3,78,20,晴/晴,2℃/-7℃,无持续风向≤3级/无持续风向≤3级
2014-01-14,108,轻度污染,82,108,68,2.4,74,24,晴/晴,4℃/-7℃,无持续风向≤3级/无持续风向≤3级
2014-01-15,125,轻度污染,95,117,66,2.7,84,18,晴/阴,3℃/-4℃,无持续风向≤3级/无持续风向≤3级
2014-01-16,402,严重污染,353,384,109,4.6,123,20,霾/小雪,5℃/-4℃,无持续风向≤3级/无持续风向≤3级
2014-01-17,215,重度污染,165,194,67,2.4,76,30,多云/晴,4℃/-6℃,北风3-4级/无持续风向≤3级
2014-01-18,99,良,74,81,42,1.5,61,36,晴/多云,6℃/-4℃,无持续风向≤3级/无持续风向≤3级
2014-01-19,151,中度污染,115,186,71,2.5,72,41,阴/晴,6℃/-4℃,北风4-5级/北风4-5级
2014-01-20,35,优,8,35,6,0.3,15,65,晴/晴,3℃/-5℃,北风4-5级/北风3-4级
2014-01-21,26,优,18,25,27,0.7,34,50,晴/晴,5℃/-6℃,无持续风向≤3级/无持续风向≤3级
2014-01-22,150,轻度污染,115,138,75,2.2,93,16,晴/多云,5℃/-4℃,无持续风向≤3级/无持续风向≤3级
2014-01-23,271,重度污染,221,263,118,4.0,125,8,多云/多云,4℃/-3℃,无持续风向≤3级/无持续风向≤3级
2014-01-24,197,中度污染,148,168,79,2.8,92,23,多云/多云,8℃/-3℃,无持续风向≤3级/无持续风向≤3级
2014-01-25,42,优,24,42,24,1.0,42,61,晴/多云,8℃/-5℃,无持续风向≤3级/无持续风向≤3级
